"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 30, 2009","221.86","220.10","221.86","218.99","100.37M","0.69%"
"Dec 29, 2009","220.34","220.57","221.65","218.92","88.92M","-0.76%"
"Dec 28, 2009","222.03","223.04","223.06","221.16","136.90M","0.16%"
"Dec 24, 2009","221.67","219.15","222.62","218.83","103.77M","1.24%"
"Dec 23, 2009","218.95","218.66","218.95","217.81","82.32M","0.50%"
"Dec 22, 2009","217.87","217.77","218.08","216.61","95.16M","0.77%"
"Dec 21, 2009","216.20","216.47","217.08","215.13","84.57M","-0.22%"
"Dec 18, 2009","216.68","215.82","217.37","214.69","85.06M","-0.10%"
"Dec 17, 2009","216.90","219.17","219.33","216.82","84.86M","-1.10%"
"Dec 16, 2009","219.32","219.65","220.22","217.66","91.84M","-0.13%"
"Dec 15, 2009","219.60","218.72","219.99","218.48","94.80M","0.04%"
"Dec 14, 2009","219.51","219.48","219.69","216.77","111.47M","0.34%"
"Dec 11, 2009","218.77","218.26","220.01","216.90","106.16M","0.02%"
"Dec 10, 2009","218.73","215.95","218.73","212.70","139.12M","1.38%"
"Dec 09, 2009","215.75","213.30","215.90","212.47","107.30M","0.39%"
"Dec 08, 2009","214.91","215.24","216.40","214.07","74.41M","-0.30%"
"Dec 07, 2009","215.55","215.65","216.07","214.52","97.13M","0.49%"
"Dec 04, 2009","214.50","212.43","215.34","212.34","96.33M","0.56%"
"Dec 03, 2009","213.31","211.01","213.31","210.55","99.77M","1.46%"
"Dec 02, 2009","210.25","208.82","210.97","208.41","107.72M","1.54%"
"Dec 01, 2009","207.07","204.02","207.07","202.99","111.38M","1.13%"
"Nov 30, 2009","204.75","203.81","206.66","203.81","102.91M","2.00%"
"Nov 27, 2009","200.73","207.40","208.37","200.06","131.88M","-4.76%"
"Nov 26, 2009","210.77","211.80","213.87","210.77","90.55M","-0.87%"
"Nov 25, 2009","212.61","212.18","213.14","210.93","78.57M","0.33%"
"Nov 24, 2009","211.92","214.79","214.87","211.04","153.57M","-0.84%"
"Nov 23, 2009","213.72","214.20","215.29","212.67","84.01M","-0.02%"
"Nov 20, 2009","213.76","212.88","214.50","212.60","90.76M","-0.06%"
"Nov 19, 2009","213.89","212.28","214.62","212.14","110.81M","1.10%"
"Nov 18, 2009","211.56","210.54","212.88","210.29","112.74M","1.22%"
"Nov 17, 2009","209.00","210.86","211.30","208.92","119.25M","-0.43%"
"Nov 16, 2009","209.90","207.61","209.90","206.10","101.70M","1.48%"
"Nov 13, 2009","206.84","208.00","208.77","205.38","90.70M","0.08%"
"Nov 12, 2009","206.67","210.51","211.17","206.67","105.11M","-1.62%"
"Nov 11, 2009","210.08","209.41","210.08","207.22","76.03M","0.89%"
"Nov 10, 2009","208.23","209.89","210.65","207.79","84.60M","0.45%"
"Nov 09, 2009","207.29","207.29","209.41","206.68","85.93M","0.37%"
"Nov 06, 2009","206.53","207.00","207.13","205.38","80.61M","1.48%"
"Nov 05, 2009","203.52","205.57","206.12","203.34","77.39M","-1.77%"
"Nov 04, 2009","207.18","203.93","207.19","203.13","86.20M","1.99%"
"Nov 03, 2009","203.13","204.49","204.93","202.95","80.13M","-0.55%"
"Nov 02, 2009","204.25","201.76","205.72","201.76","97.17M","-1.24%"
"Oct 30, 2009","206.81","210.30","210.30","206.81","94.76M","-0.42%"
"Oct 29, 2009","207.68","207.50","207.95","204.83","122.93M","-1.59%"
"Oct 28, 2009","211.03","216.37","216.85","210.19","117.49M","-2.51%"
"Oct 27, 2009","216.47","216.07","216.88","214.78","105.02M","-0.45%"
"Oct 26, 2009","217.45","213.87","218.27","213.79","105.30M","1.27%"
"Oct 23, 2009","214.73","215.07","215.75","213.54","107.98M","0.69%"
"Oct 22, 2009","213.25","214.32","216.12","212.20","110.02M","-1.56%"
"Oct 21, 2009","216.64","216.13","218.22","215.55","108.85M","-0.41%"
"Oct 20, 2009","217.53","218.31","218.61","216.13","121.21M","0.62%"
"Oct 19, 2009","216.19","213.89","216.37","211.24","100.92M","0.60%"
"Oct 16, 2009","214.91","217.02","218.78","214.49","133.04M","-1.18%"
"Oct 15, 2009","217.47","217.69","219.25","216.62","145.84M","0.73%"
"Oct 14, 2009","215.90","215.14","216.50","214.29","117.67M","1.31%"
"Oct 13, 2009","213.10","213.50","215.01","210.92","154.53M","-0.53%"
"Oct 12, 2009","214.23","217.34","217.55","213.07","138.44M","-0.62%"
"Oct 09, 2009","215.57","211.98","215.85","210.88","122.75M","2.16%"
"Oct 08, 2009","211.01","210.31","211.08","208.00","147.85M","0.99%"
