"Date","Price","Open","High","Low","Vol.","Change %"
"May 29, 2020","8,341.10","8,343.67","8,353.61","8,265.82","-","-0.03%"
"May 28, 2020","8,343.67","8,404.65","8,456.77","8,317.06","-","-0.73%"
"May 27, 2020","8,404.65","8,390.52","8,443.90","8,374.53","-","0.17%"
"May 26, 2020","8,390.52","8,286.43","8,435.58","8,286.43","-","1.26%"
"May 25, 2020","8,286.43","8,261.43","8,294.87","8,178.94","-","0.30%"
"May 22, 2020","8,261.43","8,418.10","8,418.10","8,249.51","-","-1.86%"
"May 21, 2020","8,418.10","8,356.97","8,430.03","8,356.97","-","0.73%"
"May 20, 2020","8,356.97","8,315.94","8,373.50","8,309.75","-","0.49%"
"May 19, 2020","8,315.94","8,233.54","8,370.69","8,233.54","-","1.00%"
"May 18, 2020","8,233.54","8,333.79","8,333.79","8,233.54","-","-1.20%"
"May 15, 2020","8,333.79","8,297.90","8,391.73","8,270.09","-","0.43%"
"May 14, 2020","8,297.90","8,402.46","8,402.46","8,290.46","-","-1.24%"
"May 13, 2020","8,402.46","8,346.61","8,402.62","8,303.68","-","0.67%"
"May 12, 2020","8,346.61","8,473.09","8,473.09","8,339.16","-","-1.49%"
"May 11, 2020","8,473.09","8,381.57","8,496.83","8,381.57","-","1.09%"
"May 08, 2020","8,381.57","8,334.04","8,436.97","8,334.04","-","0.57%"
"May 07, 2020","8,334.04","8,301.15","8,382.12","8,291.75","-","0.40%"
"May 06, 2020","8,301.15","8,300.35","8,332.48","8,229.30","-","0.01%"
"May 05, 2020","8,300.35","8,259.30","8,342.66","8,259.30","-","0.50%"
"May 04, 2020","8,259.30","8,505.56","8,505.56","8,226.60","-","-2.90%"
"Apr 30, 2020","8,505.56","8,330.50","8,527.01","8,330.50","-","2.10%"
"Apr 29, 2020","8,330.50","8,215.49","8,356.89","8,215.49","-","1.40%"
"Apr 28, 2020","8,215.49","8,201.44","8,231.59","8,158.57","-","0.17%"
"Apr 27, 2020","8,201.44","8,035.21","8,214.46","8,035.21","-","2.07%"
"Apr 24, 2020","8,035.21","8,061.71","8,085.01","8,024.22","-","-0.33%"
"Apr 23, 2020","8,061.71","8,020.68","8,157.85","8,008.03","-","0.51%"
"Apr 22, 2020","8,020.68","8,031.37","8,031.37","7,915.52","-","-0.13%"
"Apr 21, 2020","8,031.37","8,275.93","8,275.93","8,014.26","-","-2.96%"
"Apr 20, 2020","8,275.93","8,312.65","8,349.61","8,248.14","-","-0.44%"
"Apr 17, 2020","8,312.65","8,040.77","8,384.31","8,040.77","-","3.38%"
"Apr 16, 2020","8,040.77","8,107.74","8,107.74","7,999.94","-","-0.83%"
"Apr 15, 2020","8,107.74","8,031.29","8,120.30","8,031.29","-","0.95%"
"Apr 14, 2020","8,031.29","7,844.32","8,045.53","7,844.32","-","2.38%"
"Apr 13, 2020","7,844.32","7,888.73","7,910.02","7,833.34","-","-0.56%"
"Apr 10, 2020","7,888.73","7,881.45","7,902.51","7,852.36","-","0.09%"
"Apr 09, 2020","7,881.45","7,905.33","7,983.81","7,860.36","-","-0.30%"
"Apr 08, 2020","7,905.33","7,809.36","7,916.38","7,798.43","-","1.23%"
"Apr 07, 2020","7,809.36","7,667.42","7,849.11","7,667.42","-","1.85%"
"Apr 06, 2020","7,667.42","7,548.18","7,667.51","7,534.98","-","1.58%"
"Apr 01, 2020","7,548.18","7,606.47","7,627.97","7,548.18","-","-0.77%"
"Mar 31, 2020","7,606.47","7,538.21","7,675.45","7,533.04","-","0.91%"
"Mar 30, 2020","7,538.21","7,630.03","7,630.03","7,388.17","-","-1.20%"
"Mar 27, 2020","7,630.03","7,696.27","7,867.19","7,626.18","-","-0.86%"
"Mar 26, 2020","7,696.27","7,640.13","7,708.16","7,577.52","-","0.73%"
"Mar 25, 2020","7,640.13","7,373.21","7,713.43","7,373.21","-","3.62%"
"Mar 24, 2020","7,373.21","7,053.46","7,503.63","7,053.46","-","4.53%"
"Mar 23, 2020","7,053.46","7,371.57","7,371.57","6,951.06","-","-4.32%"
"Mar 20, 2020","7,371.57","6,877.11","7,380.39","6,877.11","-","7.19%"
"Mar 19, 2020","6,877.11","7,265.41","7,265.41","6,709.64","-","-5.34%"
"Mar 18, 2020","7,265.41","7,461.55","7,513.74","7,264.19","-","-2.63%"
"Mar 17, 2020","7,461.55","7,678.12","7,678.12","7,418.82","-","-2.82%"
"Mar 16, 2020","7,678.12","8,022.63","8,022.63","7,674.46","-","-4.29%"
"Mar 13, 2020","8,022.63","8,177.35","8,177.35","7,581.91","-","-1.89%"
"Mar 12, 2020","8,177.35","8,498.82","8,498.82","8,090.05","-","-3.78%"
"Mar 11, 2020","8,498.82","8,590.24","8,656.76","8,494.51","-","-1.06%"
"Mar 10, 2020","8,590.24","8,568.29","8,626.74","8,465.80","-","0.26%"
"Mar 09, 2020","8,568.29","8,819.29","8,819.29","8,564.71","-","-2.85%"
"Mar 06, 2020","8,819.29","9,005.19","9,005.19","8,818.44","-","-2.06%"
"Mar 05, 2020","9,005.19","8,915.49","9,023.52","8,915.49","-","1.01%"
"Mar 04, 2020","8,915.49","8,847.92","8,917.06","8,835.09","-","0.76%"
"Mar 03, 2020","8,847.92","8,711.34","8,903.25","8,711.34","-","1.57%"
"Mar 02, 2020","8,711.34","8,832.14","8,832.14","8,636.95","-","-1.37%"
"Feb 27, 2020","8,832.14","8,915.51","8,940.26","8,814.86","-","-0.94%"
"Feb 26, 2020","8,915.51","9,009.66","9,009.66","8,883.27","-","-1.04%"
"Feb 25, 2020","9,009.66","8,988.45","9,038.74","8,907.94","-","0.24%"
"Feb 24, 2020","8,988.45","9,118.72","9,118.72","8,974.14","-","-1.43%"
"Feb 21, 2020","9,118.72","9,145.60","9,171.24","9,091.05","-","-0.29%"
"Feb 20, 2020","9,145.60","9,184.04","9,238.87","9,132.86","-","-0.42%"
"Feb 19, 2020","9,184.04","9,089.42","9,205.54","9,089.42","-","1.04%"
"Feb 18, 2020","9,089.42","9,222.96","9,222.96","9,082.34","-","-1.45%"
"Feb 17, 2020","9,222.96","9,274.14","9,274.14","9,186.65","-","-0.55%"
"Feb 14, 2020","9,274.14","9,268.42","9,302.34","9,257.47","-","0.06%"
"Feb 13, 2020","9,268.42","9,247.81","9,317.12","9,247.81","-","0.22%"
"Feb 12, 2020","9,247.81","9,162.15","9,274.40","9,162.15","-","0.93%"
"Feb 11, 2020","9,162.15","9,092.20","9,178.05","9,092.20","-","0.77%"
"Feb 10, 2020","9,092.20","9,107.84","9,107.84","8,949.61","-","-0.17%"
"Feb 07, 2020","9,107.84","9,205.55","9,205.55","9,082.76","-","-1.06%"
"Feb 06, 2020","9,205.55","9,078.32","9,206.57","9,078.32","-","1.40%"
"Feb 05, 2020","9,078.32","9,047.31","9,107.93","9,012.86","-","-3.51%"
"Jan 17, 2020","9,408.38","9,395.56","9,435.09","9,373.55","-","0.14%"
"Jan 16, 2020","9,395.56","9,446.84","9,446.84","9,333.88","-","-0.54%"
"Jan 15, 2020","9,446.84","9,539.92","9,539.92","9,399.62","-","-0.98%"
"Jan 14, 2020","9,539.92","9,469.66","9,542.91","9,469.66","-","0.74%"
"Jan 13, 2020","9,469.66","9,411.37","9,470.56","9,411.37","-","0.62%"
"Jan 10, 2020","9,411.37","9,364.55","9,426.12","9,351.62","-","0.50%"
"Jan 09, 2020","9,364.55","9,223.99","9,377.39","9,223.99","-","1.52%"
"Jan 08, 2020","9,223.99","9,272.36","9,297.23","9,177.40","-","-0.52%"
"Jan 07, 2020","9,272.36","9,324.26","9,342.18","9,216.05","-","-0.56%"
"Jan 06, 2020","9,324.26","9,475.62","9,475.62","9,323.49","-","-1.60%"
"Jan 03, 2020","9,475.62","9,450.90","9,549.38","9,394.75","-","0.26%"
"Jan 02, 2020","9,450.90","9,356.04","9,458.51","9,356.04","-","1.01%"
"Dec 31, 2019","9,356.04","9,425.64","9,425.64","9,356.04","-","-0.74%"
"Dec 30, 2019","9,425.64","9,478.62","9,492.92","9,417.01","-","-0.56%"
"Dec 27, 2019","9,478.62","9,392.18","9,478.62","9,392.18","-","0.92%"
"Dec 26, 2019","9,392.18","9,396.14","9,409.73","9,369.53","-","-0.04%"
"Dec 25, 2019","9,396.14","9,377.46","9,422.52","9,362.97","-","0.20%"
"Dec 24, 2019","9,377.46","9,427.86","9,427.86","9,377.32","-","-0.53%"
"Dec 23, 2019","9,427.86","9,353.22","9,427.86","9,350.53","-","0.80%"
"Dec 20, 2019","9,353.22","9,424.65","9,424.65","9,331.35","-","-0.76%"
"Dec 19, 2019","9,424.65","9,546.54","9,546.54","9,415.34","-","-1.28%"
"Dec 18, 2019","9,546.54","9,529.26","9,549.32","9,481.72","-","0.18%"
"Dec 17, 2019","9,529.26","9,365.86","9,529.35","9,360.08","-","1.74%"
"Dec 16, 2019","9,365.86","9,396.24","9,414.74","9,365.86","-","-0.32%"
"Dec 13, 2019","9,396.24","9,276.62","9,443.76","9,276.62","-","1.29%"
"Dec 12, 2019","9,276.62","9,109.45","9,315.36","9,109.45","-","1.84%"
"Dec 11, 2019","9,109.45","9,025.03","9,109.45","9,012.58","-","0.94%"
"Dec 10, 2019","9,025.03","9,070.41","9,070.41","9,003.22","-","-0.50%"
"Dec 09, 2019","9,070.41","9,014.87","9,082.34","9,014.87","-","0.62%"
"Dec 06, 2019","9,014.87","8,997.60","9,062.16","8,980.14","-","0.19%"
"Dec 05, 2019","8,997.60","8,913.28","9,005.45","8,913.28","-","0.95%"
"Dec 04, 2019","8,913.28","8,932.56","8,932.56","8,860.77","-","-0.22%"
"Dec 03, 2019","8,932.56","8,913.73","8,932.56","8,871.40","-","0.21%"
"Dec 02, 2019","8,913.73","8,878.46","8,925.07","8,878.46","-","0.40%"
"Nov 29, 2019","8,878.46","8,994.99","8,996.97","8,875.45","-","-1.30%"
